in s,C1 in V
1.001889920E-01,6.83594E-03
1.001890012E-01,-9.76563E-04
1.001890104E-01,4.88281E-03
1.001890196E-01,8.78906E-03
1.001890288E-01,-2.92969E-03
1.001890380E-01,6.83594E-03
1.001890472E-01,4.88281E-03
1.001890564E-01,-2.92969E-03
1.001890656E-01,2.92969E-03
1.001890748E-01,-4.88281E-03
1.001890840E-01,8.78906E-03
1.001890932E-01,2.92969E-03
1.001891024E-01,1.85547E-02
1.001891116E-01,-2.24609E-02
1.001891208E-01,3.41797E-02
1.001891300E-01,-6.83594E-03
1.001891392E-01,2.92969E-03
1.001891484E-01,8.78906E-03
1.001891576E-01,2.92969E-03
1.001891668E-01,1.26953E-02
1.001891760E-01,-2.92969E-03
1.001891852E-01,8.78906E-03
1.001891944E-01,-1.07422E-02
1.001892036E-01,8.78906E-03
1.001892128E-01,-9.76563E-04
1.001892220E-01,9.76562E-04
1.001892312E-01,1.26953E-02
1.001892404E-01,8.78906E-03
1.001892496E-01,9.76562E-04
1.001892588E-01,1.07422E-02
1.001892680E-01,-4.88281E-03
1.001892772E-01,3.02734E-02
1.001892864E-01,-2.24609E-02
1.001892956E-01,2.44141E-02
1.001893048E-01,2.92969E-03
1.001893140E-01,4.88281E-03
1.001893232E-01,4.88281E-03
1.001893324E-01,9.76562E-04
1.001893416E-01,2.92969E-03
1.001893508E-01,1.26953E-02
1.001893600E-01,8.78906E-03
1.001893692E-01,-9.76563E-04
1.001893784E-01,1.66016E-02
1.001893876E-01,-9.76563E-04
1.001893968E-01,2.92969E-03
1.001894060E-01,4.88281E-03
1.001894152E-01,9.76562E-04
1.001894244E-01,-9.76563E-04
1.001894336E-01,-6.83594E-03
1.001894428E-01,2.92969E-03
1.001894520E-01,2.92969E-03
1.001894612E-01,1.07422E-02
1.001894704E-01,-2.92969E-03
1.001894796E-01,2.92969E-03
1.001894888E-01,2.92969E-03
1.001894980E-01,2.92969E-03
1.001895072E-01,9.76562E-04
1.001895164E-01,-9.76563E-04
1.001895256E-01,4.88281E-03
1.001895348E-01,4.88281E-03
1.001895440E-01,6.83594E-03
1.001895532E-01,2.92969E-03
1.001895624E-01,4.88281E-03
1.001895716E-01,1.26953E-02
1.001895808E-01,9.76562E-04
1.001895900E-01,2.92969E-03
1.001895992E-01,2.92969E-03
1.001896084E-01,-9.76563E-04
1.001896176E-01,2.92969E-03
1.001896268E-01,9.76562E-04
1.001896360E-01,2.92969E-03
1.001896452E-01,2.92969E-03
1.001896544E-01,4.88281E-03
1.001896636E-01,8.78906E-03
1.001896728E-01,-1.07422E-02
1.001896820E-01,1.46484E-02
1.001896912E-01,-2.92969E-03
1.001897004E-01,4.88281E-03
1.001897096E-01,8.78906E-03
1.001897188E-01,-6.83594E-03
1.001897280E-01,1.46484E-02
1.001897372E-01,-2.92969E-03
1.001897464E-01,2.63672E-02
1.001897556E-01,-1.26953E-02
1.001897648E-01,4.88281E-03
1.001897740E-01,-9.76563E-04
1.001897832E-01,-4.88281E-03
1.001897924E-01,1.26953E-02
1.001898016E-01,-4.88281E-03
1.001898108E-01,1.07422E-02
1.001898200E-01,-2.92969E-03
1.001898292E-01,1.46484E-02
1.001898384E-01,-1.07422E-02
1.001898476E-01,2.05078E-02
1.001898568E-01,-9.76563E-04
1.001898660E-01,6.83594E-03
1.001898752E-01,1.66016E-02
1.001898844E-01,-2.92969E-03
1.001898936E-01,1.46484E-02
1.001899028E-01,-4.88281E-03
1.001899120E-01,2.44141E-02
1.001899212E-01,-2.05078E-02
1.001899304E-01,2.83203E-02
1.001899396E-01,-9.76563E-04
1.001899488E-01,1.07422E-02
1.001899580E-01,4.88281E-03
1.001899672E-01,-2.92969E-03
1.001899764E-01,1.26953E-02
1.001899856E-01,-8.78906E-03
1.001899948E-01,8.78906E-03
1.001900040E-01,-1.07422E-02
1.001900132E-01,2.24609E-02
1.001900224E-01,-1.85547E-02
1.001900316E-01,8.78906E-03
1.001900408E-01,1.85547E-02
1.001900500E-01,6.83594E-03
1.001900592E-01,4.88281E-03
1.001900684E-01,-9.76563E-04
1.001900776E-01,8.78906E-03
1.001900868E-01,-1.26953E-02
1.001900960E-01,2.44141E-02
1.001901052E-01,-1.07422E-02
1.001901144E-01,1.66016E-02
1.001901236E-01,-2.92969E-03
1.001901328E-01,6.83594E-03
1.001901420E-01,8.78906E-03
1.001901512E-01,-4.88281E-03
1.001901604E-01,-4.88281E-03
1.001901696E-01,-8.78906E-03
1.001901788E-01,3.02734E-02
1.001901880E-01,-2.24609E-02
1.001901972E-01,2.24609E-02
1.001902064E-01,-6.83594E-03
1.001902156E-01,1.07422E-02
1.001902248E-01,-6.83594E-03
1.001902340E-01,-6.83594E-03
1.001902432E-01,1.26953E-02
1.001902524E-01,-9.76563E-04
1.001902616E-01,4.88281E-03
1.001902708E-01,-2.92969E-03
1.001902800E-01,8.78906E-03
1.001902892E-01,4.88281E-03
1.001902984E-01,9.76562E-04
1.001903076E-01,6.83594E-03
1.001903168E-01,-6.83594E-03
1.001903260E-01,-2.92969E-03
1.001903352E-01,-8.78906E-03
1.001903444E-01,2.63672E-02
1.001903536E-01,-1.85547E-02
1.001903628E-01,2.24609E-02
1.001903720E-01,-6.83594E-03
1.001903812E-01,2.92969E-03
1.001903904E-01,9.76562E-04
1.001903996E-01,9.76562E-04
1.001904088E-01,6.83594E-03
1.001904180E-01,9.76562E-04
1.001904272E-01,6.83594E-03
1.001904364E-01,9.76562E-04
1.001904456E-01,6.83594E-03
1.001904548E-01,-9.76563E-04
1.001904640E-01,6.83594E-03
1.001904732E-01,-4.88281E-03
1.001904824E-01,9.76562E-04
1.001904916E-01,9.76562E-04
1.001905008E-01,6.83594E-03
1.001905100E-01,1.85547E-02
1.001905192E-01,-1.46484E-02
1.001905284E-01,1.66016E-02
1.001905376E-01,-4.88281E-03
1.001905468E-01,4.88281E-03
1.001905560E-01,-4.88281E-03
1.001905652E-01,1.07422E-02
1.001905744E-01,1.07422E-02
1.001905836E-01,6.83594E-03
1.001905928E-01,-4.88281E-03
1.001906020E-01,2.92969E-03
1.001906112E-01,-9.76563E-04
1.001906204E-01,4.88281E-03
1.001906296E-01,9.76562E-04
1.001906388E-01,6.83594E-03
1.001906480E-01,6.83594E-03
1.001906572E-01,4.88281E-03
1.001906664E-01,4.88281E-03
1.001906756E-01,-2.92969E-03
1.001906848E-01,4.88281E-03
1.001906940E-01,2.92969E-03
1.001907032E-01,4.88281E-03
1.001907124E-01,4.88281E-03
1.001907216E-01,4.88281E-03
1.001907308E-01,9.76562E-04
1.001907400E-01,8.78906E-03
1.001907492E-01,4.88281E-03
1.001907584E-01,2.92969E-03
1.001907676E-01,-1.85547E-02
1.001907768E-01,3.02734E-02
1.001907860E-01,-8.78906E-03
1.001907952E-01,1.26953E-02
1.001908044E-01,-8.78906E-03
1.001908136E-01,9.76562E-04
1.001908228E-01,-9.76563E-04
1.001908320E-01,-9.76563E-04
1.001908412E-01,-9.76563E-04
1.001908504E-01,4.88281E-03
1.001908596E-01,6.83594E-03
1.001908688E-01,6.83594E-03
1.001908780E-01,6.83594E-03
1.001908872E-01,-4.88281E-03
1.001908964E-01,6.83594E-03
1.001909056E-01,2.92969E-03
1.001909148E-01,1.85547E-02
1.001909240E-01,-1.66016E-02
1.001909332E-01,2.92969E-03
1.001909424E-01,1.07422E-02
1.001909516E-01,-1.46484E-02
1.001909608E-01,1.26953E-02
1.001909700E-01,-2.05078E-02
1.001909792E-01,6.83594E-03
1.001909884E-01,9.76562E-04
1.001909976E-01,1.26953E-02
1.001910068E-01,-4.88281E-03
1.001910160E-01,-1.07422E-02
1.001910252E-01,2.05078E-02
1.001910344E-01,-8.78906E-03
1.001910436E-01,1.07422E-02
1.001910528E-01,-8.78906E-03
1.001910620E-01,1.07422E-02
1.001910712E-01,-2.92969E-03
1.001910804E-01,8.78906E-03
1.001910896E-01,4.88281E-03
1.001910988E-01,4.88281E-03
1.001911080E-01,2.92969E-03
1.001911172E-01,-2.92969E-03
1.001911264E-01,4.88281E-03
1.001911356E-01,-9.76563E-04
1.001911448E-01,-2.92969E-03
1.001911540E-01,-9.76563E-04
1.001911632E-01,8.78906E-03
1.001911724E-01,-9.76563E-04
1.001911816E-01,1.07422E-02
1.001911908E-01,8.78906E-03
1.001912000E-01,-9.76563E-04
1.001912092E-01,1.07422E-02
1.001912184E-01,2.92969E-03
1.001912276E-01,-9.76563E-04
1.001912368E-01,-9.76563E-04
1.001912460E-01,9.76562E-04
1.001912552E-01,8.78906E-03
1.001912644E-01,-9.76563E-04
1.001912736E-01,6.83594E-03
1.001912828E-01,2.92969E-03
1.001912920E-01,4.88281E-03
1.001913012E-01,9.76562E-04
1.001913104E-01,4.88281E-03
1.001913196E-01,8.78906E-03
1.001913288E-01,-9.76563E-04
1.001913380E-01,1.07422E-02
1.001913472E-01,9.76562E-04
1.001913564E-01,4.88281E-03
1.001913656E-01,4.88281E-03
1.001913748E-01,8.78906E-03
1.001913840E-01,6.83594E-03
1.001913932E-01,2.92969E-03
1.001914024E-01,2.92969E-03
1.001914116E-01,2.92969E-03
1.001914208E-01,1.07422E-02
1.001914300E-01,4.88281E-03
1.001914392E-01,6.83594E-03
1.001914484E-01,6.83594E-03
1.001914576E-01,2.92969E-03
1.001914668E-01,4.88281E-03
1.001914760E-01,6.83594E-03
1.001914852E-01,2.92969E-03
1.001914944E-01,9.76562E-04
1.001915036E-01,-9.76563E-04
1.001915128E-01,8.78906E-03
1.001915220E-01,8.78906E-03
1.001915312E-01,8.78906E-03
1.001915404E-01,-9.76563E-04
1.001915496E-01,4.88281E-03
1.001915588E-01,8.78906E-03
1.001915680E-01,4.88281E-03
1.001915772E-01,4.88281E-03
1.001915864E-01,1.66016E-02
1.001915956E-01,9.76562E-04
1.001916048E-01,-9.76563E-04
1.001916140E-01,4.88281E-03
1.001916232E-01,4.88281E-03
1.001916324E-01,4.88281E-03
1.001916416E-01,-4.88281E-03
1.001916508E-01,9.76562E-04
1.001916600E-01,6.83594E-03
1.001916692E-01,6.83594E-03
1.001916784E-01,1.07422E-02
1.001916876E-01,6.83594E-03
1.001916968E-01,6.83594E-03
1.001917060E-01,-2.92969E-03
1.001917152E-01,6.83594E-03
1.001917244E-01,6.83594E-03
1.001917336E-01,8.78906E-03
1.001917428E-01,6.83594E-03
1.001917520E-01,4.88281E-03
1.001917612E-01,4.88281E-03
1.001917704E-01,2.92969E-03
1.001917796E-01,9.76562E-04
1.001917888E-01,8.78906E-03
1.001917980E-01,8.78906E-03
1.001918072E-01,1.07422E-02
1.001918164E-01,2.92969E-03
1.001918256E-01,-2.92969E-03
1.001918348E-01,1.46484E-02
1.001918440E-01,1.07422E-02
1.001918532E-01,1.07422E-02
1.001918624E-01,6.83594E-03
1.001918716E-01,4.88281E-03
1.001918808E-01,8.78906E-03
1.001918900E-01,2.92969E-03
1.001918992E-01,1.26953E-02
1.001919084E-01,9.76562E-04
1.001919176E-01,6.83594E-03
1.001919268E-01,1.07422E-02
1.001919360E-01,2.92969E-03
1.001919452E-01,4.88281E-03
1.001919544E-01,2.92969E-03
1.001919636E-01,-2.92969E-03
1.001919728E-01,6.83594E-03
1.001919820E-01,4.88281E-03
1.001919912E-01,-4.88281E-03
1.001920004E-01,9.76562E-04
1.001920096E-01,2.92969E-03
1.001920188E-01,-9.76563E-04
1.001920280E-01,4.88281E-03
1.001920372E-01,9.76562E-04
1.001920464E-01,6.83594E-03
1.001920556E-01,1.07422E-02
1.001920648E-01,-9.76563E-04
1.001920740E-01,4.88281E-03
1.001920832E-01,6.83594E-03
1.001920924E-01,-9.76563E-04
1.001921016E-01,8.78906E-03
1.001921108E-01,6.83594E-03
1.001921200E-01,4.88281E-03
1.001921292E-01,6.83594E-03
1.001921384E-01,6.83594E-03
1.001921476E-01,2.92969E-03
1.001921568E-01,6.83594E-03
1.001921660E-01,6.83594E-03
1.001921752E-01,-2.92969E-03
1.001921844E-01,4.88281E-03
1.001921936E-01,4.88281E-03
1.001922028E-01,9.76562E-04
1.001922120E-01,1.07422E-02
1.001922212E-01,-9.76563E-04
1.001922304E-01,8.78906E-03
1.001922396E-01,9.76562E-04
1.001922488E-01,2.92969E-03
1.001922580E-01,8.78906E-03
1.001922672E-01,-4.88281E-03
1.001922764E-01,2.92969E-03
1.001922856E-01,4.88281E-03
1.001922948E-01,1.07422E-02
1.001923040E-01,6.83594E-03
1.001923132E-01,6.83594E-03
1.001923224E-01,1.07422E-02
1.001923316E-01,-4.88281E-03
1.001923408E-01,4.88281E-03
1.001923500E-01,6.83594E-03
1.001923592E-01,6.83594E-03
1.001923684E-01,1.07422E-02
1.001923776E-01,1.07422E-02
1.001923868E-01,2.92969E-03
1.001923960E-01,9.76562E-04
1.001924052E-01,6.83594E-03
1.001924144E-01,4.88281E-03
1.001924236E-01,8.78906E-03
1.001924328E-01,2.92969E-03
1.001924420E-01,9.76562E-04
1.001924512E-01,6.83594E-03
1.001924604E-01,4.88281E-03
1.001924696E-01,4.88281E-03
1.001924788E-01,2.92969E-03
1.001924880E-01,4.88281E-03
1.001924972E-01,2.92969E-03
1.001925064E-01,8.78906E-03
