in s,C1 in V
8.87833900E-02,-2.19727E+00
8.87835732E-02,-2.49023E+00
8.87837564E-02,-2.39258E+00
8.87839396E-02,-2.39258E+00
8.87841228E-02,-2.49023E+00
8.87843060E-02,-2.09961E+00
8.87844892E-02,-2.58789E+00
8.87846724E-02,-2.68555E+00
8.87848556E-02,-2.49023E+00
8.87850388E-02,-2.19727E+00
8.87852220E-02,-1.90430E+00
8.87854052E-02,-2.09961E+00
8.87855884E-02,-2.49023E+00
8.87857716E-02,-2.58789E+00
8.87859548E-02,-2.09961E+00
8.87861380E-02,-2.39258E+00
8.87863212E-02,-2.49023E+00
8.87865044E-02,-2.39258E+00
8.87866876E-02,-2.09961E+00
8.87868708E-02,-2.49023E+00
8.87870540E-02,-2.49023E+00
8.87872372E-02,-2.39258E+00
8.87874204E-02,-2.19727E+00
8.87876036E-02,-2.09961E+00
8.87877868E-02,-2.39258E+00
8.87879700E-02,-2.29492E+00
8.87881532E-02,-2.09961E+00
8.87883364E-02,-2.19727E+00
8.87885196E-02,-2.19727E+00
8.87887028E-02,-2.09961E+00
8.87888860E-02,-2.29492E+00
8.87890692E-02,-2.68555E+00
8.87892524E-02,-2.49023E+00
8.87894356E-02,-2.39258E+00
8.87896188E-02,-2.88086E+00
8.87898020E-02,-2.39258E+00
8.87899852E-02,-2.39258E+00
8.87901684E-02,-2.19727E+00
8.87903516E-02,-2.49023E+00
8.87905348E-02,-2.68555E+00
8.87907180E-02,-2.39258E+00
8.87909012E-02,-2.39258E+00
8.87910844E-02,-2.39258E+00
8.87912676E-02,-2.39258E+00
8.87914508E-02,-2.19727E+00
8.87916340E-02,-1.70898E+00
8.87918172E-02,-2.39258E+00
8.87920004E-02,-2.49023E+00
8.87921836E-02,-2.29492E+00
8.87923668E-02,-1.90430E+00
8.87925500E-02,-2.19727E+00
8.87927332E-02,-2.49023E+00
8.87929164E-02,-2.19727E+00
8.87930996E-02,-2.68555E+00
8.87932828E-02,-2.39258E+00
8.87934660E-02,-1.90430E+00
8.87936492E-02,-2.19727E+00
8.87938324E-02,-2.49023E+00
8.87940156E-02,-2.19727E+00
8.87941988E-02,-2.68555E+00
8.87943820E-02,-2.19727E+00
8.87945652E-02,-1.90430E+00
8.87947484E-02,-2.49023E+00
8.87949316E-02,-2.09961E+00
8.87951148E-02,-2.39258E+00
8.87952980E-02,-2.19727E+00
8.87954812E-02,-2.58789E+00
8.87956644E-02,-2.49023E+00
8.87958476E-02,-2.39258E+00
8.87960308E-02,-2.19727E+00
8.87962140E-02,-2.19727E+00
8.87963972E-02,-2.39258E+00
8.87965804E-02,-2.00195E+00
8.87967636E-02,-2.39258E+00
8.87969468E-02,-2.39258E+00
8.87971300E-02,-2.39258E+00
8.87973132E-02,-2.58789E+00
8.87974964E-02,-2.19727E+00
8.87976796E-02,-2.29492E+00
8.87978628E-02,-2.19727E+00
8.87980460E-02,-2.29492E+00
8.87982292E-02,-2.78320E+00
8.87984124E-02,-2.19727E+00
8.87985956E-02,-2.68555E+00
8.87987788E-02,-2.58789E+00
8.87989620E-02,-1.90430E+00
8.87991452E-02,-2.09961E+00
8.87993284E-02,-2.29492E+00
8.87995116E-02,-2.29492E+00
8.87996948E-02,-2.49023E+00
8.87998780E-02,-2.29492E+00
8.88000612E-02,-2.39258E+00
8.88002444E-02,-2.49023E+00
8.88004276E-02,-2.29492E+00
8.88006108E-02,-2.58789E+00
8.88007940E-02,-2.58789E+00
8.88009772E-02,-2.39258E+00
8.88011604E-02,-2.29492E+00
8.88013436E-02,-2.29492E+00
8.88015268E-02,-2.49023E+00
8.88017100E-02,-2.19727E+00
8.88018932E-02,-2.78320E+00
8.88020764E-02,-2.49023E+00
8.88022596E-02,-3.07617E+00
8.88024428E-02,-2.49023E+00
8.88026260E-02,-2.49023E+00
8.88028092E-02,-2.78320E+00
8.88029924E-02,-2.29492E+00
8.88031756E-02,-2.39258E+00
8.88033588E-02,-2.39258E+00
8.88035420E-02,-2.19727E+00
8.88037252E-02,-2.78320E+00
8.88039084E-02,-2.39258E+00
8.88040916E-02,-2.09961E+00
8.88042748E-02,-2.19727E+00
8.88044580E-02,-2.49023E+00
8.88046412E-02,-2.09961E+00
8.88048244E-02,-2.29492E+00
8.88050076E-02,-2.19727E+00
8.88051908E-02,-2.09961E+00
8.88053740E-02,-2.58789E+00
8.88055572E-02,-2.58789E+00
8.88057404E-02,-2.58789E+00
8.88059236E-02,-2.68555E+00
8.88061068E-02,-2.19727E+00
8.88062900E-02,-2.39258E+00
8.88064732E-02,-2.88086E+00
8.88066564E-02,-2.19727E+00
8.88068396E-02,-2.78320E+00
8.88070228E-02,-2.39258E+00
8.88072060E-02,-2.39258E+00
8.88073892E-02,-1.80664E+00
8.88075724E-02,-2.09961E+00
8.88077556E-02,-2.19727E+00
8.88079388E-02,-2.29492E+00
8.88081220E-02,-2.09961E+00
8.88083052E-02,-2.58789E+00
8.88084884E-02,-2.09961E+00
8.88086716E-02,-2.39258E+00
8.88088548E-02,-2.00195E+00
8.88090380E-02,-2.09961E+00
8.88092212E-02,-2.29492E+00
8.88094044E-02,-2.58789E+00
8.88095876E-02,-2.39258E+00
8.88097708E-02,-2.19727E+00
8.88099540E-02,-2.68555E+00
8.88101372E-02,-2.39258E+00
8.88103204E-02,-2.68555E+00
8.88105036E-02,-2.19727E+00
8.88106868E-02,-2.29492E+00
8.88108700E-02,-2.49023E+00
