in s,C1 in V
9.964083760E-02,3.54492E-01
9.964087620E-02,3.54492E-01
9.964091480E-02,1.59180E-01
9.964095340E-02,3.54492E-01
9.964099200E-02,3.05664E-01
9.964103060E-02,4.52148E-01
9.964106920E-02,1.59180E-01
9.964110780E-02,3.54492E-01
9.964114640E-02,3.05664E-01
9.964118500E-02,1.10352E-01
9.964122360E-02,3.05664E-01
9.964126220E-02,2.08008E-01
9.964130080E-02,1.59180E-01
9.964133940E-02,1.10352E-01
9.964137800E-02,1.59180E-01
9.964141660E-02,1.59180E-01
9.964145520E-02,1.10352E-01
9.964149380E-02,4.03320E-01
9.964153240E-02,3.05664E-01
9.964157100E-02,1.59180E-01
9.964160960E-02,3.05664E-01
9.964164820E-02,2.08008E-01
9.964168680E-02,2.56836E-01
9.964172540E-02,2.08008E-01
9.964176400E-02,2.56836E-01
9.964180260E-02,1.10352E-01
9.964184120E-02,3.05664E-01
9.964187980E-02,3.05664E-01
9.964191840E-02,1.10352E-01
9.964195700E-02,5.00977E-01
9.964199560E-02,1.59180E-01
9.964203420E-02,3.05664E-01
9.964207280E-02,2.08008E-01
9.964211140E-02,4.52148E-01
9.964215000E-02,3.05664E-01
9.964218860E-02,3.05664E-01
9.964222720E-02,2.56836E-01
9.964226580E-02,2.56836E-01
9.964230440E-02,2.08008E-01
9.964234300E-02,3.54492E-01
9.964238160E-02,2.56836E-01
9.964242020E-02,2.56836E-01
9.964245880E-02,1.59180E-01
9.964249740E-02,2.56836E-01
9.964253600E-02,3.05664E-01
9.964257460E-02,3.05664E-01
9.964261320E-02,2.08008E-01
9.964265180E-02,2.08008E-01
9.964269040E-02,2.56836E-01
9.964272900E-02,1.59180E-01
9.964276760E-02,1.10352E-01
9.964280620E-02,4.52148E-01
9.964284480E-02,2.56836E-01
9.964288340E-02,3.05664E-01
9.964292200E-02,1.59180E-01
9.964296060E-02,1.59180E-01
9.964299920E-02,3.54492E-01
9.964303780E-02,2.56836E-01
9.964307640E-02,2.08008E-01
9.964311500E-02,1.10352E-01
9.964315360E-02,1.59180E-01
9.964319220E-02,3.54492E-01
9.964323080E-02,2.08008E-01
9.964326940E-02,1.26953E-02
9.964330800E-02,3.54492E-01
9.964334660E-02,4.03320E-01
